uid,instance_seed,n_agents,dep_mode,size,n_obstacles,couple_prob,couple_dist,method,status,team_time,flow_time,distance,wait,valid,agent_clearance,obstacle_clearance,dep_violations,n_switches,runtime_s,lower_bound,ratio_to_bound,git_commit,planner_seed,timeout_s,n_modes,n_feasible_modes,chosen_is_fastest_feasible,note,n_amax_violations,n_amax_viol_stop,n_amax_viol_block,n_amax_viol_snap,n_amax_viol_project,n_project_active,n_blocked,n_evals,n_stalled_evals,max_accel,phys_fp
n4_chain_538e3564,4,4,chain,10.0,6-8,0.0,0.55,sequential,ok,43.2,105.1,46.284,61.9,True,1.2065,0.348,0,,0.032,18.4,2.3478,aa1574f,0,300.0,,,,,,,,,,,,,,,058289b6e9fe
n4_chain_538e3564,4,4,chain,10.0,6-8,0.0,0.55,wm_planner,ok,20.6,62.8,47.032,19.319,True,1.0343,0.3202,0,2,11.986,18.4,1.1196,aa1574f,0,300.0,16,16,True,,12,4,4,4,0,315,4,176,0,10.0229,058289b6e9fe
n4_chain_33bea71e,5,4,chain,10.0,6-8,0.0,0.55,wm_planner,unfinished:deadlock: no team progress,11.0,44.0,13.323,32.898,False,1.6697,0.3203,0,0,9.335,15.9,0.6918,aa1574f,1,300.0,16,16,True,deadlock: no team progress,5,0,5,0,0,90,5,96,0,12.0,058289b6e9fe
n4_chain_538e3564,4,4,chain,10.0,6-8,0.0,0.55,wm_planner,ok,20.9,64.1,48.077,19.746,True,0.8893,0.3211,0,4,13.605,18.4,1.1359,aa1574f,1,300.0,16,16,True,,12,4,4,4,0,318,4,176,0,10.819,058289b6e9fe
n4_chain_33bea71e,5,4,chain,10.0,6-8,0.0,0.55,wm_planner,ok,20.3,68.0,40.854,28.189,True,0.8356,0.3201,0,3,10.312,15.9,1.2767,aa1574f,2,300.0,16,16,True,,11,3,4,4,0,207,4,176,0,12.0,058289b6e9fe
n4_chain_60406179,6,4,chain,10.0,6-8,0.0,0.55,lower_bound,ok,17.8,,,,,,,,,0.0,17.8,1.0,aa1574f,0,300.0,,,,,,,,,,,,,,,058289b6e9fe
n4_chain_60406179,6,4,chain,10.0,6-8,0.0,0.55,sequential,no_solution,,,,,,,,,,,17.8,,aa1574f,0,300.0,,,,,,,,,,,,,,,058289b6e9fe
n4_chain_60406179,6,4,chain,10.0,6-8,0.0,0.55,wm_planner,ok,20.7,63.0,53.864,14.336,True,0.9226,0.365,0,3,10.159,17.8,1.1629,aa1574f,0,300.0,16,16,True,,14,4,4,6,0,338,4,176,0,10.1516,058289b6e9fe
n4_chain_60406179,6,4,chain,10.0,6-8,0.0,0.55,wm_planner,ok,20.7,63.0,53.891,14.355,True,0.921,0.365,0,3,10.376,17.8,1.1629,aa1574f,2,300.0,16,16,True,,10,4,3,3,0,330,3,176,0,9.0028,058289b6e9fe
n4_chain_830b6aab,8,4,chain,10.0,6-8,0.0,0.55,lower_bound,ok,13.9,,,,,,,,,0.0,13.9,1.0,aa1574f,0,300.0,,,,,,,,,,,,,,,058289b6e9fe
n4_chain_830b6aab,8,4,chain,10.0,6-8,0.0,0.55,sequential,no_solution,,,,,,,,,,,13.9,,aa1574f,0,300.0,,,,,,,,,,,,,,,058289b6e9fe
