uid,instance_seed,n_agents,dep_mode,size,n_obstacles,couple_prob,couple_dist,method,status,team_time,flow_time,distance,wait,valid,agent_clearance,obstacle_clearance,dep_violations,n_switches,runtime_s,lower_bound,ratio_to_bound,git_commit,planner_seed,timeout_s,n_modes,n_feasible_modes,chosen_is_fastest_feasible,note,n_amax_violations,n_amax_viol_stop,n_amax_viol_block,n_amax_viol_snap,n_amax_viol_project,n_project_active,n_blocked,n_free_steps_calls,n_agent_violations,n_obstacle_violations,min_agent_clearance,min_obstacle_clearance,first_violation_t,n_evals,n_stalled_evals,n_replans,n_replans_over_1s,replan_ms_median,replan_ms_p90,replan_ms_max,max_accel,phys_fp
n2_chain_0bbc5f6a,8,2,chain,8.0,2-3,0.0,0.55,wm_planner,ok,12.2,21.6,18.896,3.589,True,1.2538,0.3321,0,0,5.164,11.5,1.0609,b6767bd,1,300.0,16,14,True,,0,0,0,0,0,141,0,192,0,0,1.253811,0.332086,-1,112,2,13,1,303.856,624.145,1371.841,12.0,65eb7c9d9016
n2_chain_84847a1e,4,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,9.7,18.8,11.161,7.158,True,2.867,0.4308,0,0,1.8,8.7,1.1149,b6767bd,1,300.0,12,12,True,,0,0,0,0,0,86,0,164,0,0,2.867013,0.430786,-1,84,0,10,0,133.805,310.484,586.07,12.0,65eb7c9d9016
n2_chain_5c29c9ac,0,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,14.3,27.7,21.801,7.244,True,0.9742,0.3232,0,0,5.427,13.0,1.1,b6767bd,2,300.0,16,15,True,,0,0,0,0,0,150,0,253,0,0,0.974229,0.323224,-1,128,2,15,0,376.118,522.414,710.947,17.0615,65eb7c9d9016
n2_chain_5c29c9ac,0,2,chain,8.0,2-3,1.0,0.55,lower_bound,ok,13.0,,,,,,,,,0.0,13.0,1.0,b6767bd,0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,65eb7c9d9016
n2_chain_5c29c9ac,0,2,chain,8.0,2-3,1.0,0.55,sequential,no_solution,,,,,,,,,,,13.0,,b6767bd,0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,65eb7c9d9016
n2_chain_5c29c9ac,0,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,14.2,27.3,21.851,6.809,True,1.0047,0.3208,0,0,5.497,13.0,1.0923,b6767bd,0,300.0,16,15,True,,0,0,0,0,0,154,0,249,0,0,1.004668,0.320788,-1,128,7,15,1,366.871,533.785,1129.706,20.399,65eb7c9d9016
n2_chain_e25e3efb,9,2,chain,8.0,2-3,0.0,0.55,lower_bound,ok,10.6,,,,,,,,,0.0,10.6,1.0,b6767bd,0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,65eb7c9d9016
n2_chain_e25e3efb,9,2,chain,8.0,2-3,0.0,0.55,sequential,ok,18.7,28.6,19.376,9.9,True,1.0228,0.4123,0,,0.008,10.6,1.7642,b6767bd,0,300.0,,,,,,,,,,,,,0,0,1.022767,0.412316,-1,,,,,,,,,65eb7c9d9016
n2_chain_e25e3efb,9,2,chain,8.0,2-3,0.0,0.55,wm_planner,unfinished:deadlock: no team progress,12.0,24.0,8.881,16.599,False,4.9844,0.4308,0,0,6.238,10.6,1.1321,b6767bd,0,300.0,16,2,True,deadlock: no team progress,0,0,0,0,0,22,0,240,0,0,4.984424,0.430834,-1,104,102,12,1,380.146,645.666,1394.522,12.0,65eb7c9d9016
n2_chain_e25e3efb,9,2,chain,8.0,2-3,0.0,0.55,wm_planner,unfinished:deadlock: no team progress,12.0,24.0,8.763,16.697,False,5.1442,0.4308,0,0,6.225,10.6,1.1321,b6767bd,1,300.0,16,3,True,deadlock: no team progress,0,0,0,0,0,22,0,240,0,0,5.144205,0.430834,-1,104,101,12,1,374.381,647.789,1386.255,12.0,65eb7c9d9016
n2_chain_e25e3efb,9,2,chain,8.0,2-3,0.0,0.55,wm_planner,unfinished:deadlock: no team progress,12.0,24.0,8.737,16.719,False,4.9401,0.3206,0,0,6.146,10.6,1.1321,b6767bd,2,300.0,16,2,True,deadlock: no team progress,0,0,0,0,0,25,0,240,0,0,4.940121,0.320644,-1,104,102,12,1,376.87,633.662,1376.432,12.0,65eb7c9d9016
n2_chain_84847a1e,4,2,chain,8.0,2-3,1.0,0.55,lower_bound,ok,8.7,,,,,,,,,0.0,8.7,1.0,b6767bd,0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,65eb7c9d9016
n2_chain_84847a1e,4,2,chain,8.0,2-3,1.0,0.55,sequential,ok,11.9,20.4,11.224,8.5,True,2.867,0.466,0,,0.005,8.7,1.3678,b6767bd,0,300.0,,,,,,,,,,,,,0,0,2.867013,0.465978,-1,,,,,,,,,65eb7c9d9016
n2_chain_84847a1e,4,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,9.7,18.8,11.161,7.158,True,2.867,0.4308,0,0,3.494,8.7,1.1149,b6767bd,0,300.0,12,12,True,,0,0,0,0,0,86,0,164,0,0,2.867013,0.430786,-1,84,0,10,0,291.545,598.183,973.105,12.0,65eb7c9d9016
n2_chain_84847a1e,4,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,9.7,18.8,11.161,7.158,True,2.867,0.4308,0,0,3.529,8.7,1.1149,b6767bd,2,300.0,12,12,True,,0,0,0,0,0,86,0,164,0,0,2.867013,0.430786,-1,84,0,10,0,291.367,594.223,966.543,12.0,65eb7c9d9016
n2_chain_ac62a6a2,5,2,chain,8.0,2-3,1.0,0.55,lower_bound,ok,13.2,,,,,,,,,0.0,13.2,1.0,b6767bd,0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,65eb7c9d9016
n2_chain_ac62a6a2,5,2,chain,8.0,2-3,1.0,0.55,sequential,ok,18.0,23.9,17.987,5.9,True,1.6358,0.4114,0,,0.005,13.2,1.3636,b6767bd,0,300.0,,,,,,,,,,,,,0,0,1.635818,0.411397,-1,,,,,,,,,65eb7c9d9016
n2_chain_ac62a6a2,5,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,14.0,20.1,18.197,2.281,True,1.6766,0.347,0,0,3.707,13.2,1.0606,b6767bd,0,300.0,16,16,True,,0,0,0,0,0,142,0,173,0,0,1.676593,0.346953,-1,120,1,14,0,246.939,359.909,808.758,14.5102,65eb7c9d9016
n2_chain_ac62a6a2,5,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,14.0,20.1,18.2,2.281,True,1.6766,0.347,0,0,3.736,13.2,1.0606,b6767bd,1,300.0,16,16,True,,0,0,0,0,0,142,0,173,0,0,1.676593,0.346953,-1,120,0,14,0,250.608,359.585,801.588,14.5102,65eb7c9d9016
n2_chain_1dc33093,7,2,chain,8.0,2-3,1.0,0.55,lower_bound,ok,7.3,,,,,,,,,0.0,7.3,1.0,b6767bd,0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,65eb7c9d9016
n2_chain_1dc33093,7,2,chain,8.0,2-3,1.0,0.55,sequential,ok,11.6,15.9,10.755,4.3,True,1.1229,0.4983,0,,0.005,7.3,1.589,b6767bd,0,300.0,,,,,,,,,,,,,0,0,1.122892,0.498316,-1,,,,,,,,,65eb7c9d9016
n2_chain_1dc33093,7,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,7.5,11.8,10.897,0.41,True,0.8867,0.5528,0,1,1.805,7.3,1.0274,b6767bd,0,300.0,12,8,True,,0,0,0,0,0,87,0,94,0,0,0.886688,0.552767,-1,68,6,8,0,164.741,420.243,637.714,12.0,65eb7c9d9016
n2_chain_9e2fbfe5,6,2,chain,8.0,2-3,1.0,0.55,lower_bound,ok,10.5,,,,,,,,,0.0,10.5,1.0,b6767bd,0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,65eb7c9d9016
n2_chain_9e2fbfe5,6,2,chain,8.0,2-3,1.0,0.55,sequential,ok,14.6,22.6,13.419,8.0,True,2.2193,0.447,0,,0.003,10.5,1.3905,b6767bd,0,300.0,,,,,,,,,,,,,0,0,2.219347,0.447023,-1,,,,,,,,,65eb7c9d9016
n2_chain_9e2fbfe5,6,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,11.0,19.0,13.421,4.734,True,0.9567,0.4151,0,1,2.681,10.5,1.0476,b6767bd,0,300.0,16,15,True,,0,0,0,0,0,108,0,158,0,0,0.956683,0.415148,-1,96,1,11,0,189.054,345.051,759.807,12.0,65eb7c9d9016
n2_chain_1dc33093,7,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,7.5,11.8,10.897,0.41,True,0.8867,0.5528,0,1,1.807,7.3,1.0274,b6767bd,1,300.0,12,8,True,,0,0,0,0,0,87,0,94,0,0,0.886688,0.552767,-1,68,6,8,0,164.184,421.065,639.789,12.0,65eb7c9d9016
