uid,agent,route_idx,n_routes,length,len1,len2,hx,hy,sx,sy
n2_chain_5aa18f01,1,2,4,12.540952,7.076054,5.464898,-0.422349,-0.906433,8.812330,9.430222
n2_chain_5aa18f01,1,3,4,12.634659,7.076054,5.558605,-0.422349,-0.906433,8.812330,9.430222
n2_chain_5c29c9ac,0,0,4,13.941026,7.927944,6.013082,-0.891937,0.452159,7.464421,2.711605
n2_chain_5c29c9ac,0,1,4,13.999326,7.927944,6.071382,-0.891937,0.452159,7.464421,2.711605
n2_chain_5c29c9ac,0,2,4,14.967176,8.954095,6.013082,-0.963910,0.266227,7.464421,2.711605
n2_chain_5c29c9ac,0,3,4,15.025477,8.954095,6.071382,-0.963910,0.266227,7.464421,2.711605
n2_chain_5c29c9ac,1,0,4,5.625443,0.969099,4.656344,-0.677368,0.735644,1.778987,6.660687
n2_chain_5c29c9ac,1,1,4,6.607373,1.951029,4.656344,-0.998942,-0.045995,1.778987,6.660687
n2_chain_5c29c9ac,1,2,4,6.975798,0.969099,6.006699,-0.677368,0.735644,1.778987,6.660687
n2_chain_5c29c9ac,1,3,4,7.957728,1.951029,6.006699,-0.998942,-0.045995,1.778987,6.660687
n2_chain_5d8ff341,0,0,4,13.366229,4.231423,9.134806,-0.307388,-0.951584,5.099693,7.170520
n2_chain_5d8ff341,0,1,4,14.206253,4.231423,9.974830,-0.307388,-0.951584,5.099693,7.170520
n2_chain_5d8ff341,0,2,4,14.264791,5.129985,9.134806,-0.228392,-0.973569,5.099693,7.170520
n2_chain_5d8ff341,0,3,4,15.104815,5.129985,9.974830,-0.228392,-0.973569,5.099693,7.170520
n2_chain_5d8ff341,1,0,4,19.541540,10.229933,9.311607,-0.893635,-0.448795,11.061603,8.762916
n2_chain_5d8ff341,1,1,4,20.062482,10.229933,9.832549,-0.893635,-0.448795,11.061603,8.762916
n2_chain_5d8ff341,1,2,4,20.207465,10.895858,9.311607,-0.943528,-0.331293,11.061603,8.762916
n2_chain_5d8ff341,1,3,4,20.728407,10.895858,9.832549,-0.943528,-0.331293,11.061603,8.762916
n2_chain_5ee6ddc6,0,0,4,16.691586,10.800519,5.891068,0.064761,0.997901,1.411636,2.745675
n2_chain_5ee6ddc6,0,1,4,16.906972,10.800519,6.106453,0.064761,0.997901,1.411636,2.745675
n2_chain_5ee6ddc6,0,2,4,18.172605,12.281538,5.891068,0.282098,-0.959386,1.411636,2.745675
n2_chain_5ee6ddc6,0,3,4,18.387991,12.281538,6.106453,0.282098,-0.959386,1.411636,2.745675
n2_chain_5ee6ddc6,1,0,4,18.081197,11.760094,6.321103,-0.757139,0.653254,8.692509,0.898464
n2_chain_5ee6ddc6,1,1,4,18.198332,11.760094,6.438239,-0.757139,0.653254,8.692509,0.898464
n2_chain_5ee6ddc6,1,2,4,19.661026,13.339923,6.321103,-0.986637,0.162935,8.692509,0.898464
n2_chain_5ee6ddc6,1,3,4,19.778162,13.339923,6.438239,-0.986637,0.162935,8.692509,0.898464
n2_chain_5fd352f9,0,0,4,12.617716,4.601571,8.016145,-0.134540,-0.990908,2.082677,6.393004
n2_chain_5fd352f9,0,1,4,12.624267,4.608121,8.016145,-0.091623,-0.995794,2.082677,6.393004
n2_chain_5fd352f9,0,2,4,14.088548,4.601571,9.486978,-0.134540,-0.990908,2.082677,6.393004
n2_chain_5fd352f9,0,3,4,14.095099,4.608121,9.486978,-0.091623,-0.995794,2.082677,6.393004
n2_chain_5fd352f9,1,0,1,5.069655,3.853144,1.216511,-0.990328,-0.138746,5.218315,7.313263
n2_chain_631adeb0,0,0,4,10.864024,3.754525,7.109499,-0.995486,0.094907,6.196817,1.069131
n2_chain_631adeb0,0,1,4,11.417832,4.308333,7.109499,-0.890938,0.454125,6.196817,1.069131
n2_chain_631adeb0,0,2,4,11.500345,3.754525,7.745820,-0.995486,0.094907,6.196817,1.069131
n2_chain_631adeb0,0,3,4,12.054153,4.308333,7.745820,-0.890938,0.454125,6.196817,1.069131
n2_chain_631adeb0,1,0,2,5.130959,1.222782,3.908176,0.759583,-0.650411,1.009883,2.043218
