uid,planner_seed,replan_idx,cluster_id,mode_idx,members,agent_tokens,obstacle_tokens,mode,k,density,y_exit,dt_delay,solo_exit_s,stalled
n2_chain_5fca519e,0,2,0,2,"0,1","[[-0.28608006043535905, 0.37150389322822663, -1.136006213759997, -0.38663921091720116, 1.0, 0.0, 0.0, 0.0], [0.28608006043535905, -0.3715038932282264, 0.5258503733549805, 0.6550430404503415, 1.0, 0.0, 0.0, 0.0]]","[[-2.1831243113385526, 2.153550731823317, 0.9283402577555355, 1.4956483146537087], [1.4231416757001893, 2.6515435430773766, 0.7149979142762355, 0.8220981922823951]]",r20|A>B,2,0.0707355302630646,1,-9.9,10.0,0
n2_chain_5fca519e,0,2,0,3,"0,1","[[-0.28608006043535905, 0.37150389322822663, -1.136006213759997, -0.38663921091720116, 1.0, 0.0, 0.0, 0.0], [0.28608006043535905, -0.3715038932282264, 0.5258503733549805, 0.6550430404503415, 1.0, 0.0, 0.0, 0.0]]","[[-2.1831243113385526, 2.153550731823317, 0.9283402577555355, 1.4956483146537087], [1.4231416757001893, 2.6515435430773766, 0.7149979142762355, 0.8220981922823951]]",r20|B>A|s,2,0.0707355302630646,1,-9.9,10.0,0
n2_chain_5fca519e,0,2,0,4,"0,1","[[-0.28608006043535905, 0.37150389322822663, -1.136006213759997, -0.38663921091720116, 1.0, 0.0, 0.0, 0.0], [0.28608006043535905, -0.3715038932282264, 0.5258503733549805, 0.6550430404503415, 1.0, 0.0, 0.0, 0.0]]","[[-2.1831243113385526, 2.153550731823317, 0.9283402577555355, 1.4956483146537087], [1.4231416757001893, 2.6515435430773766, 0.7149979142762355, 0.8220981922823951]]",r20|B>A|cs,2,0.0707355302630646,1,-9.9,10.0,0
n2_chain_5fca519e,0,2,0,5,"0,1","[[-0.28608006043535905, 0.37150389322822663, -1.136006213759997, -0.38663921091720116, 1.0, 0.0, 0.0, 0.0], [0.28608006043535905, -0.3715038932282264, 0.5258503733549805, 0.6550430404503415, 1.0, 0.0, 0.0, 0.0]]","[[-2.1831243113385526, 2.153550731823317, 0.9283402577555355, 1.4956483146537087], [1.4231416757001893, 2.6515435430773766, 0.7149979142762355, 0.8220981922823951]]",r03|B>A|cs,2,0.0707355302630646,1,-9.9,10.0,0
n2_chain_5fca519e,0,2,0,6,"0,1","[[-0.28608006043535905, 0.37150389322822663, -1.136006213759997, -0.38663921091720116, 1.0, 0.0, 0.0, 0.0], [0.28608006043535905, -0.3715038932282264, 0.5258503733549805, 0.6550430404503415, 1.0, 0.0, 0.0, 0.0]]","[[-2.1831243113385526, 2.153550731823317, 0.9283402577555355, 1.4956483146537087], [1.4231416757001893, 2.6515435430773766, 0.7149979142762355, 0.8220981922823951]]",r21|A>B|s,2,0.0707355302630646,1,-9.9,10.0,0
n2_chain_5fca519e,0,2,0,7,"0,1","[[-0.28608006043535905, 0.37150389322822663, -1.136006213759997, -0.38663921091720116, 1.0, 0.0, 0.0, 0.0], [0.28608006043535905, -0.3715038932282264, 0.5258503733549805, 0.6550430404503415, 1.0, 0.0, 0.0, 0.0]]","[[-2.1831243113385526, 2.153550731823317, 0.9283402577555355, 1.4956483146537087], [1.4231416757001893, 2.6515435430773766, 0.7149979142762355, 0.8220981922823951]]",r21|B>A|s,2,0.0707355302630646,1,-9.9,10.0,0
n2_chain_5fca519e,0,2,0,8,"0,1","[[-0.28608006043535905, 0.37150389322822663, -1.136006213759997, -0.38663921091720116, 1.0, 0.0, 0.0, 0.0], [0.28608006043535905, -0.3715038932282264, 0.5258503733549805, 0.6550430404503415, 1.0, 0.0, 0.0, 0.0]]","[[-2.1831243113385526, 2.153550731823317, 0.9283402577555355, 1.4956483146537087], [1.4231416757001893, 2.6515435430773766, 0.7149979142762355, 0.8220981922823951]]",r30|A>B,2,0.0707355302630646,1,-9.9,10.0,0
n2_chain_5fca519e,0,2,0,9,"0,1","[[-0.28608006043535905, 0.37150389322822663, -1.136006213759997, -0.38663921091720116, 1.0, 0.0, 0.0, 0.0], [0.28608006043535905, -0.3715038932282264, 0.5258503733549805, 0.6550430404503415, 1.0, 0.0, 0.0, 0.0]]","[[-2.1831243113385526, 2.153550731823317, 0.9283402577555355, 1.4956483146537087], [1.4231416757001893, 2.6515435430773766, 0.7149979142762355, 0.8220981922823951]]",r30|B>A|s,2,0.0707355302630646,1,-9.9,10.0,0
n2_chain_5fca519e,0,2,0,10,"0,1","[[-0.28608006043535905, 0.37150389322822663, -1.136006213759997, -0.38663921091720116, 1.0, 0.0, 0.0, 0.0], [0.28608006043535905, -0.3715038932282264, 0.5258503733549805, 0.6550430404503415, 1.0, 0.0, 0.0, 0.0]]","[[-2.1831243113385526, 2.153550731823317, 0.9283402577555355, 1.4956483146537087], [1.4231416757001893, 2.6515435430773766, 0.7149979142762355, 0.8220981922823951]]",r13|A>B,2,0.0707355302630646,1,-9.9,10.0,0
n2_chain_5fca519e,0,2,0,11,"0,1","[[-0.28608006043535905, 0.37150389322822663, -1.136006213759997, -0.38663921091720116, 1.0, 0.0, 0.0, 0.0], [0.28608006043535905, -0.3715038932282264, 0.5258503733549805, 0.6550430404503415, 1.0, 0.0, 0.0, 0.0]]","[[-2.1831243113385526, 2.153550731823317, 0.9283402577555355, 1.4956483146537087], [1.4231416757001893, 2.6515435430773766, 0.7149979142762355, 0.8220981922823951]]",r13|B>A|cs,2,0.0707355302630646,1,-9.9,10.0,0
n2_chain_5fca519e,0,2,0,12,"0,1","[[-0.28608006043535905, 0.37150389322822663, -1.136006213759997, -0.38663921091720116, 1.0, 0.0, 0.0, 0.0], [0.28608006043535905, -0.3715038932282264, 0.5258503733549805, 0.6550430404503415, 1.0, 0.0, 0.0, 0.0]]","[[-2.1831243113385526, 2.153550731823317, 0.9283402577555355, 1.4956483146537087], [1.4231416757001893, 2.6515435430773766, 0.7149979142762355, 0.8220981922823951]]",r22|B>A|s,2,0.0707355302630646,1,-9.9,10.0,0
n2_chain_5fca519e,0,2,0,13,"0,1","[[-0.28608006043535905, 0.37150389322822663, -1.136006213759997, -0.38663921091720116, 1.0, 0.0, 0.0, 0.0], [0.28608006043535905, -0.3715038932282264, 0.5258503733549805, 0.6550430404503415, 1.0, 0.0, 0.0, 0.0]]","[[-2.1831243113385526, 2.153550731823317, 0.9283402577555355, 1.4956483146537087], [1.4231416757001893, 2.6515435430773766, 0.7149979142762355, 0.8220981922823951]]",r31|B>A|cs,2,0.0707355302630646,1,-9.9,10.0,0
n2_chain_5fca519e,0,2,0,14,"0,1","[[-0.28608006043535905, 0.37150389322822663, -1.136006213759997, -0.38663921091720116, 1.0, 0.0, 0.0, 0.0], [0.28608006043535905, -0.3715038932282264, 0.5258503733549805, 0.6550430404503415, 1.0, 0.0, 0.0, 0.0]]","[[-2.1831243113385526, 2.153550731823317, 0.9283402577555355, 1.4956483146537087], [1.4231416757001893, 2.6515435430773766, 0.7149979142762355, 0.8220981922823951]]",r32|B>A,2,0.0707355302630646,1,-9.9,10.0,0
n2_chain_5fca519e,0,2,0,15,"0,1","[[-0.28608006043535905, 0.37150389322822663, -1.136006213759997, -0.38663921091720116, 1.0, 0.0, 0.0, 0.0], [0.28608006043535905, -0.3715038932282264, 0.5258503733549805, 0.6550430404503415, 1.0, 0.0, 0.0, 0.0]]","[[-2.1831243113385526, 2.153550731823317, 0.9283402577555355, 1.4956483146537087], [1.4231416757001893, 2.6515435430773766, 0.7149979142762355, 0.8220981922823951]]",r33|A>B|s,2,0.0707355302630646,1,-9.9,10.0,0
n2_chain_5fca519e,0,3,0,0,"0,1","[[-1.048382473224402, -0.337067237763939, -1.0852189381656963, -0.5121521779378848, 1.0, 0.0, 0.0, 0.0], [1.048382473224402, 0.337067237763939, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]","[[-1.8397348383246968, 1.9095586215525593, 0.9283402577555355, 1.4956483146537087], [1.7665311487140452, 2.4075514328066188, 0.7149979142762355, 0.8220981922823951]]",r00|A>B,2,0.0707355302630646,1,-9.9,10.0,0
n2_chain_5fca519e,0,3,0,1,"0,1","[[-1.048382473224402, -0.337067237763939, -1.0852189381656963, -0.5121521779378848, 1.0, 0.0, 0.0, 0.0], [1.048382473224402, 0.337067237763939, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]","[[-1.8397348383246968, 1.9095586215525593, 0.9283402577555355, 1.4956483146537087], [1.7665311487140452, 2.4075514328066188, 0.7149979142762355, 0.8220981922823951]]",r00|B>A|cs,2,0.0707355302630646,1,-9.9,10.0,0
n2_chain_5fca519e,0,3,0,2,"0,1","[[-1.048382473224402, -0.337067237763939, -1.0852189381656963, -0.5121521779378848, 1.0, 0.0, 0.0, 0.0], [1.048382473224402, 0.337067237763939, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]","[[-1.8397348383246968, 1.9095586215525593, 0.9283402577555355, 1.4956483146537087], [1.7665311487140452, 2.4075514328066188, 0.7149979142762355, 0.8220981922823951]]",r01|A>B|cs,2,0.0707355302630646,1,-9.9,10.0,0
n2_chain_5fca519e,0,3,0,3,"0,1","[[-1.048382473224402, -0.337067237763939, -1.0852189381656963, -0.5121521779378848, 1.0, 0.0, 0.0, 0.0], [1.048382473224402, 0.337067237763939, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]","[[-1.8397348383246968, 1.9095586215525593, 0.9283402577555355, 1.4956483146537087], [1.7665311487140452, 2.4075514328066188, 0.7149979142762355, 0.8220981922823951]]",r02|A>B|cs,2,0.0707355302630646,1,-9.9,10.0,0
n2_chain_5fca519e,0,3,0,4,"0,1","[[-1.048382473224402, -0.337067237763939, -1.0852189381656963, -0.5121521779378848, 1.0, 0.0, 0.0, 0.0], [1.048382473224402, 0.337067237763939, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]","[[-1.8397348383246968, 1.9095586215525593, 0.9283402577555355, 1.4956483146537087], [1.7665311487140452, 2.4075514328066188, 0.7149979142762355, 0.8220981922823951]]",r02|B>A|cs,2,0.0707355302630646,1,-9.9,10.0,0
