uid,instance_seed,n_agents,dep_mode,size,n_obstacles,couple_prob,couple_dist,method,status,team_time,flow_time,distance,wait,valid,agent_clearance,obstacle_clearance,dep_violations,n_switches,runtime_s,lower_bound,ratio_to_bound,git_commit,planner_seed,timeout_s,n_modes,n_feasible_modes,chosen_is_fastest_feasible,note,n_amax_violations,n_amax_viol_stop,n_amax_viol_block,n_amax_viol_snap,n_amax_viol_project,n_project_active,n_blocked,n_evals,n_stalled_evals,max_accel,phys_fp
n2_none_2ef9d5df,3,2,none,10.0,4-6,0.0,0.55,wm_planner,unfinished:deadlock: no team progress,14.0,18.5,10.286,8.003,False,1.6141,0.3238,0,1,1.769,9.4,1.4894,88755d1,0,300.0,16,10,True,deadlock: no team progress,3,2,0,1,0,60,68,120,0,7.7521,34f7729fcabc
n2_none_36e5175f,4,2,none,10.0,4-6,0.0,0.55,lower_bound,ok,8.5,,,,,,,,,0.0,8.5,1.0,88755d1,0,300.0,,,,,,,,,,,,,,,34f7729fcabc
n2_none_36e5175f,4,2,none,10.0,4-6,0.0,0.55,sequential,ok,13.8,19.1,13.469,5.3,True,3.8404,0.4025,0,,0.006,8.5,1.6235,88755d1,0,300.0,,,,,,,,,,,,,,,34f7729fcabc
n2_none_36e5175f,4,2,none,10.0,4-6,0.0,0.55,wm_planner,ok,9.3,14.9,13.467,1.394,True,4.7053,0.345,0,0,1.882,8.5,1.0941,88755d1,0,300.0,16,15,True,,4,2,0,2,0,90,1,88,0,8.8079,34f7729fcabc
n2_none_36e5175f,4,2,none,10.0,4-6,0.0,0.55,wm_planner,ok,9.3,14.9,13.467,1.394,True,4.7053,0.345,0,0,1.881,8.5,1.0941,88755d1,1,300.0,16,15,True,,4,2,0,2,0,90,1,88,0,8.8079,34f7729fcabc
n2_none_2ef9d5df,3,2,none,10.0,4-6,0.0,0.55,wm_planner,ok,11.5,15.9,13.694,2.634,True,1.431,0.4307,0,3,2.201,9.4,1.2234,88755d1,1,300.0,16,6,True,,2,2,0,0,0,76,1,104,0,7.7521,34f7729fcabc
n2_none_6ecdad40,1,2,none,10.0,4-6,0.0,0.55,wm_planner,ok,13.1,24.7,25.197,1.446,True,2.6672,0.32,0,2,3.431,12.1,1.0826,88755d1,2,300.0,16,16,True,,3,2,0,1,0,181,1,120,0,9.2707,34f7729fcabc
n2_none_32cb4f5b,0,2,none,10.0,4-6,0.0,0.55,wm_planner,unfinished:deadlock: no team progress,19.0,31.8,18.276,14.194,False,2.4522,0.2568,0,1,3.849,11.2,1.6964,88755d1,2,300.0,16,16,True,deadlock: no team progress,2,1,0,1,0,116,118,160,0,4.0874,34f7729fcabc
n2_none_c5d48ec3,2,2,none,10.0,4-6,0.0,0.55,lower_bound,ok,16.9,,,,,,,,,0.0,16.9,1.0,88755d1,0,300.0,,,,,,,,,,,,,,,34f7729fcabc
n2_none_c5d48ec3,2,2,none,10.0,4-6,0.0,0.55,sequential,no_solution,,,,,,,,,,,16.9,,88755d1,0,300.0,,,,,,,,,,,,,,,34f7729fcabc
n2_none_c5d48ec3,2,2,none,10.0,4-6,0.0,0.55,wm_planner,unfinished:deadlock: no team progress,23.0,46.0,23.728,24.626,False,0.9639,0.2984,0,6,4.384,16.9,1.3609,88755d1,0,300.0,16,15,True,deadlock: no team progress,2,1,0,1,0,134,223,192,0,5.9287,34f7729fcabc
n2_none_41e3a932,6,2,none,10.0,4-6,0.0,0.55,lower_bound,ok,14.6,,,,,,,,,0.0,14.6,1.0,88755d1,0,300.0,,,,,,,,,,,,,,,34f7729fcabc
n2_none_41e3a932,6,2,none,10.0,4-6,0.0,0.55,sequential,ok,23.0,31.4,24.872,8.4,True,1.4173,0.3861,0,,0.007,14.6,1.5753,88755d1,0,300.0,,,,,,,,,,,,,,,34f7729fcabc
n2_none_41e3a932,6,2,none,10.0,4-6,0.0,0.55,wm_planner,unfinished:deadlock: no team progress,16.0,25.5,14.731,12.09,False,3.8956,0.3262,0,0,2.437,14.6,1.0959,88755d1,0,300.0,16,15,True,deadlock: no team progress,1,1,0,0,0,103,111,136,0,8.0283,34f7729fcabc
n2_none_41e3a932,6,2,none,10.0,4-6,0.0,0.55,wm_planner,unfinished:deadlock: no team progress,16.0,25.2,14.589,11.908,False,3.7951,0.3285,0,0,2.45,14.6,1.0959,88755d1,1,300.0,16,14,True,deadlock: no team progress,1,1,0,0,0,101,111,136,0,7.4398,34f7729fcabc
n2_none_c5d48ec3,2,2,none,10.0,4-6,0.0,0.55,wm_planner,unfinished:deadlock: no team progress,29.0,51.1,29.875,24.677,False,0.93,0.3155,0,5,4.958,16.9,1.716,88755d1,2,300.0,16,16,True,deadlock: no team progress,1,1,0,0,0,184,223,240,0,9.6463,34f7729fcabc
n2_none_c5d48ec3,2,2,none,10.0,4-6,0.0,0.55,wm_planner,unfinished:deadlock: no team progress,23.0,46.0,23.679,24.667,False,0.9244,0.3022,0,3,5.376,16.9,1.3609,88755d1,1,300.0,16,16,True,deadlock: no team progress,2,1,0,1,0,144,162,192,0,5.5402,34f7729fcabc
n2_none_d99fd6b5,7,2,none,10.0,4-6,0.0,0.55,wm_planner,unfinished:deadlock: no team progress,12.0,24.0,8.805,16.662,False,3.7726,0.3207,0,0,2.774,16.4,0.7317,88755d1,1,300.0,16,8,True,deadlock: no team progress,0,0,0,0,0,42,69,104,0,3.0,34f7729fcabc
n2_none_d99fd6b5,7,2,none,10.0,4-6,0.0,0.55,lower_bound,ok,16.4,,,,,,,,,0.0,16.4,1.0,88755d1,0,300.0,,,,,,,,,,,,,,,34f7729fcabc
n2_none_d99fd6b5,7,2,none,10.0,4-6,0.0,0.55,sequential,ok,31.7,47.0,34.765,15.3,True,2.5748,0.3682,0,,0.009,16.4,1.9329,88755d1,0,300.0,,,,,,,,,,,,,,,34f7729fcabc
n2_none_d99fd6b5,7,2,none,10.0,4-6,0.0,0.55,wm_planner,unfinished:deadlock: no team progress,15.0,30.0,14.2,18.167,False,1.0867,0.3205,0,1,2.906,16.4,0.9146,88755d1,0,300.0,16,8,True,deadlock: no team progress,0,0,0,0,0,95,168,128,0,3.0,34f7729fcabc
