uid,instance_seed,n_agents,dep_mode,size,n_obstacles,couple_prob,couple_dist,method,status,team_time,flow_time,distance,wait,valid,agent_clearance,obstacle_clearance,dep_violations,n_switches,runtime_s,lower_bound,ratio_to_bound,git_commit,planner_seed,timeout_s,n_modes,n_feasible_modes,chosen_is_fastest_feasible,note,n_amax_violations,n_amax_viol_stop,n_amax_viol_block,n_amax_viol_snap,n_amax_viol_project,n_project_active,n_blocked,n_free_steps_calls,n_agent_violations,n_obstacle_violations,min_agent_clearance,min_obstacle_clearance,first_violation_t,n_evals,n_stalled_evals,max_accel,phys_fp
n2_chain_5c29c9ac,0,2,chain,8.0,2-3,1.0,0.55,sequential,no_solution,,,,,,,,,,,13.0,,1cabda9,0,300.0,,,,,,,,,,,,,,,,,,,,,b414b4637808
n2_chain_5c29c9ac,0,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,15.4,29.6,21.482,9.348,True,0.9818,0.351,0,1,9.093,13.0,1.1846,1cabda9,0,300.0,16,16,True,,6,2,1,3,0,117,1,925,0,0,0.981846,0.350991,-1,136,0,9.1646,b414b4637808
n2_chain_ac62a6a2,5,2,chain,8.0,2-3,1.0,0.55,lower_bound,ok,13.2,,,,,,,,,0.0,13.2,1.0,1cabda9,0,300.0,,,,,,,,,,,,,,,,,,,,,b414b4637808
n2_chain_ac62a6a2,5,2,chain,8.0,2-3,1.0,0.55,sequential,ok,18.0,23.9,17.987,5.9,True,1.6358,0.4114,0,,0.006,13.2,1.3636,1cabda9,0,300.0,,,,,,,,,,,,,0,0,1.635818,0.411397,-1,,,,b414b4637808
n2_chain_ac62a6a2,5,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,15.0,21.6,18.303,3.627,True,1.4044,0.3752,0,2,4.874,13.2,1.1364,1cabda9,0,300.0,16,16,True,,6,2,1,3,0,124,1,689,0,0,1.404388,0.375187,-1,128,0,9.7805,b414b4637808
n2_chain_84847a1e,4,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,10.1,19.4,11.173,7.86,True,2.867,0.3547,0,1,5.025,8.7,1.1609,1cabda9,2,300.0,12,12,True,,4,2,1,1,0,66,1,523,0,0,2.867013,0.354748,-1,92,0,9.441,b414b4637808
n2_chain_1dc33093,7,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,8.1,13.8,11.179,2.172,True,0.9769,0.4991,0,0,2.533,7.3,1.1096,1cabda9,1,300.0,12,12,True,,3,2,0,1,0,65,0,420,0,0,0.976941,0.499058,-1,76,0,9.6614,b414b4637808
n2_chain_1dc33093,7,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,8.1,13.8,11.179,2.172,True,0.9769,0.4991,0,0,2.657,7.3,1.1096,1cabda9,2,300.0,12,12,True,,3,2,0,1,0,65,0,420,0,0,0.976941,0.499058,-1,76,0,9.6614,b414b4637808
n2_chain_1dc33093,7,2,chain,8.0,2-3,1.0,0.55,lower_bound,ok,7.3,,,,,,,,,0.0,7.3,1.0,1cabda9,0,300.0,,,,,,,,,,,,,,,,,,,,,b414b4637808
n2_chain_1dc33093,7,2,chain,8.0,2-3,1.0,0.55,sequential,ok,11.6,15.9,10.755,4.3,True,1.1229,0.4983,0,,0.004,7.3,1.589,1cabda9,0,300.0,,,,,,,,,,,,,0,0,1.122892,0.498316,-1,,,,b414b4637808
n2_chain_1dc33093,7,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,8.1,13.8,11.179,2.172,True,0.9769,0.4991,0,0,3.207,7.3,1.1096,1cabda9,0,300.0,12,12,True,,3,2,0,1,0,65,0,420,0,0,0.976941,0.499058,-1,76,0,9.6614,b414b4637808
n2_chain_fcca7b3d,3,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,16.9,32.0,28.765,5.73,True,0.7001,0.3299,0,6,7.852,14.6,1.1575,1cabda9,1,300.0,16,16,True,,6,2,0,3,1,167,0,1099,0,0,0.70011,0.329891,-1,144,0,9.3417,b414b4637808
n2_chain_9e2fbfe5,6,2,chain,8.0,2-3,1.0,0.55,lower_bound,ok,10.5,,,,,,,,,0.0,10.5,1.0,1cabda9,0,300.0,,,,,,,,,,,,,,,,,,,,,b414b4637808
n2_chain_9e2fbfe5,6,2,chain,8.0,2-3,1.0,0.55,sequential,ok,14.6,22.6,13.419,8.0,True,2.2193,0.447,0,,0.006,10.5,1.3905,1cabda9,0,300.0,,,,,,,,,,,,,0,0,2.219347,0.447023,-1,,,,b414b4637808
n2_chain_9e2fbfe5,6,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,12.6,20.9,17.129,3.525,True,0.9222,0.3908,0,3,4.889,10.5,1.2,1cabda9,0,300.0,16,16,True,,5,2,0,3,0,87,0,624,0,0,0.922224,0.390778,-1,112,0,10.1902,b414b4637808
n2_chain_ac62a6a2,5,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,15.0,21.6,18.303,3.627,True,1.4044,0.3752,0,2,6.494,13.2,1.1364,1cabda9,1,300.0,16,16,True,,6,2,1,3,0,124,1,689,0,0,1.404388,0.375187,-1,128,0,9.7805,b414b4637808
n2_chain_9e2fbfe5,6,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,11.6,19.9,13.516,5.529,True,0.9703,0.3849,0,4,5.203,10.5,1.1048,1cabda9,1,300.0,16,16,True,,6,2,1,3,0,91,1,561,0,0,0.970344,0.384858,-1,104,0,10.1902,b414b4637808
n2_chain_fcca7b3d,3,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,16.8,32.6,29.461,5.718,True,0.7001,0.3299,0,4,8.501,14.6,1.1507,1cabda9,2,300.0,16,16,True,,7,2,0,2,3,179,0,1123,0,0,0.700116,0.329891,-1,144,0,9.1666,b414b4637808
n2_chain_fcca7b3d,3,2,chain,8.0,2-3,1.0,0.55,lower_bound,ok,14.6,,,,,,,,,0.0,14.6,1.0,1cabda9,0,300.0,,,,,,,,,,,,,,,,,,,,,b414b4637808
n2_chain_fcca7b3d,3,2,chain,8.0,2-3,1.0,0.55,sequential,no_solution,,,,,,,,,,,14.6,,1cabda9,0,300.0,,,,,,,,,,,,,,,,,,,,,b414b4637808
n2_chain_fcca7b3d,3,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,18.9,35.8,29.591,8.841,True,0.7983,0.3227,0,3,8.898,14.6,1.2945,1cabda9,0,300.0,16,16,True,,4,2,1,1,0,125,1,1190,0,0,0.798284,0.322683,-1,160,0,8.8862,b414b4637808
n2_chain_ac62a6a2,5,2,chain,8.0,2-3,1.0,0.55,wm_planner,ok,15.1,21.7,18.282,3.772,True,1.3632,0.3748,0,3,6.804,13.2,1.1439,1cabda9,2,300.0,16,16,True,,6,1,2,3,0,125,2,690,0,0,1.363209,0.374806,-1,136,0,9.7433,b414b4637808
