uid,instance_seed,n_agents,dep_mode,size,n_obstacles,couple_prob,couple_dist,method,status,team_time,flow_time,distance,wait,valid,agent_clearance,obstacle_clearance,dep_violations,n_switches,runtime_s,lower_bound,ratio_to_bound,git_commit,planner_seed,timeout_s,n_modes,n_feasible_modes,chosen_is_fastest_feasible,note,n_amax_violations,n_amax_viol_stop,n_amax_viol_block,n_amax_viol_snap,n_amax_viol_project,n_project_active,n_blocked,max_accel,phys_fp
n3_none_c4d4559c,2,3,none,10.0,6-8,0.0,0.55,wm_planner,ok,15.2,39.0,35.664,5.521,True,0.7604,0.3202,0,2,5.128,13.1,1.1603,fb5c257,1,300.0,16,16,True,,6,3,1,2,0,219,1,10.3725,2070da06d4a0
n3_none_63cbafab,1,3,none,10.0,6-8,0.0,0.55,wm_planner,ok,18.6,41.8,41.387,4.34,True,0.8628,0.3202,0,1,5.615,17.0,1.0941,fb5c257,2,300.0,16,16,True,,8,3,1,4,0,259,1,9.9078,2070da06d4a0
n3_none_c4d4559c,2,3,none,10.0,6-8,0.0,0.55,wm_planner,ok,13.9,37.8,35.436,4.455,True,0.9217,0.3239,0,2,5.286,13.1,1.0611,fb5c257,2,300.0,16,16,True,,7,3,0,4,0,217,0,10.7138,2070da06d4a0
n3_none_d3ec6d38,0,3,none,10.0,6-8,0.0,0.55,lower_bound,ok,15.4,,,,,,,,,0.0,15.4,1.0,fb5c257,0,300.0,,,,,,,,,,,,,2070da06d4a0
n3_none_d3ec6d38,0,3,none,10.0,6-8,0.0,0.55,sequential,no_solution,,,,,,,,,,,15.4,,fb5c257,0,300.0,,,,,,,,,,,,,2070da06d4a0
n3_none_d3ec6d38,0,3,none,10.0,6-8,0.0,0.55,wm_planner,ok,18.0,41.0,37.213,6.181,True,0.923,0.3213,0,2,6.172,15.4,1.1688,fb5c257,0,300.0,16,16,True,,9,3,2,4,0,233,2,9.07,2070da06d4a0
n3_none_63cbafab,1,3,none,10.0,6-8,0.0,0.55,lower_bound,ok,17.0,,,,,,,,,0.0,17.0,1.0,fb5c257,0,300.0,,,,,,,,,,,,,2070da06d4a0
n3_none_63cbafab,1,3,none,10.0,6-8,0.0,0.55,sequential,no_solution,,,,,,,,,,,17.0,,fb5c257,0,300.0,,,,,,,,,,,,,2070da06d4a0
n3_none_63cbafab,1,3,none,10.0,6-8,0.0,0.55,wm_planner,ok,18.7,43.6,42.207,5.395,True,0.9591,0.3202,0,1,6.338,17.0,1.1,fb5c257,0,300.0,16,16,True,,9,3,2,4,0,273,2,12.0,2070da06d4a0
n3_none_6a717bce,3,3,none,10.0,6-8,0.0,0.55,lower_bound,ok,11.7,,,,,,,,,0.0,11.7,1.0,fb5c257,0,300.0,,,,,,,,,,,,,2070da06d4a0
n3_none_6a717bce,3,3,none,10.0,6-8,0.0,0.55,sequential,ok,31.1,64.4,34.063,33.3,True,1.9539,0.3977,0,,0.016,11.7,2.6581,fb5c257,0,300.0,,,,,,,,,,,,,2070da06d4a0
n3_none_6a717bce,3,3,none,10.0,6-8,0.0,0.55,wm_planner,ok,14.0,40.7,37.679,7.071,True,0.9205,0.3205,0,7,5.285,11.7,1.1966,fb5c257,0,300.0,16,16,True,,6,3,2,1,0,195,2,11.6116,2070da06d4a0
n3_none_ef543451,6,3,none,10.0,6-8,0.0,0.55,wm_planner,ok,9.4,24.0,19.815,4.485,True,0.9491,0.4302,0,2,2.409,8.1,1.1605,fb5c257,1,300.0,16,16,True,,7,3,0,4,0,116,0,8.5632,2070da06d4a0
n3_none_ef543451,6,3,none,10.0,6-8,0.0,0.55,lower_bound,ok,8.1,,,,,,,,,0.0,8.1,1.0,fb5c257,0,300.0,,,,,,,,,,,,,2070da06d4a0
n3_none_ef543451,6,3,none,10.0,6-8,0.0,0.55,sequential,no_solution,,,,,,,,,,,8.1,,fb5c257,0,300.0,,,,,,,,,,,,,2070da06d4a0
n3_none_ef543451,6,3,none,10.0,6-8,0.0,0.55,wm_planner,ok,10.3,25.1,20.58,4.992,True,1.0057,0.3223,0,4,2.587,8.1,1.2716,fb5c257,0,300.0,16,16,False,,5,3,0,2,0,111,0,8.5409,2070da06d4a0
n3_none_10909d9d,5,3,none,10.0,6-8,0.0,0.55,lower_bound,ok,10.9,,,,,,,,,0.0,10.9,1.0,fb5c257,0,300.0,,,,,,,,,,,,,2070da06d4a0
n3_none_10909d9d,5,3,none,10.0,6-8,0.0,0.55,sequential,ok,29.5,56.6,31.197,27.1,True,1.1706,0.3421,0,,0.019,10.9,2.7064,fb5c257,0,300.0,,,,,,,,,,,,,2070da06d4a0
n3_none_10909d9d,5,3,none,10.0,6-8,0.0,0.55,wm_planner,ok,11.9,32.8,31.956,3.237,True,1.3032,0.3364,0,2,4.073,10.9,1.0917,fb5c257,0,300.0,16,16,True,,5,3,1,1,0,210,1,11.1186,2070da06d4a0
n3_none_6a717bce,3,3,none,10.0,6-8,0.0,0.55,wm_planner,ok,14.7,40.2,36.228,7.808,True,0.9214,0.3205,0,6,5.889,11.7,1.2564,fb5c257,2,300.0,16,16,True,,8,3,3,2,0,187,3,11.4579,2070da06d4a0
