[bench.run] 경고: wm_config 의 "seed": 0 를 무시한다. 플래너 seed 는 axis.planner_seeds 가 정한다 (이번 실행: [0, 1, 2]).
P1b: 격자 1620, 인스턴스 1620 x 3 planner seeds = 4860 units
  기존 완료 0 units, 이번 실행 대상 4860 units
  방법 ['lower_bound', 'prioritized', 'wm_planner']
  결정론적 ['lower_bound', 'prioritized'] 는 planner_seed=0 에서만 돈다
  워커 8 (안쪽 1), 하드 타임아웃 300s / 인스턴스
  commit abf8b8a
-> bench/runs/P1b.csv

  [  142/4860] n2_chain_197e59af                  ps=0 11.9s ok                 0:40 경과, 남은 ~22:17
  [  143/4860] n2_chain_07fc2cfc                  ps=2 10.3s ok                 0:40 경과, 남은 ~22:14
  [  144/4860] n2_chain_cde36878                  ps=2 16.0s ok                 0:40 경과, 남은 ~22:18
  [  145/4860] n2_chain_060a40ee                  ps=0 12.0s ok                 0:40 경과, 남은 ~22:12
  [  146/4860] n2_chain_060a40ee                  ps=1 12.0s ok                 0:41 경과, 남은 ~22:16
  [  147/4860] n2_chain_55305e9e                  ps=0 8.1s ok                  0:41 경과, 남은 ~22:07
  [  148/4860] n2_chain_55305e9e                  ps=1 8.1s ok                  0:41 경과, 남은 ~22:01
  [  149/4860] n2_chain_55305e9e                  ps=2 8.1s ok                  0:41 경과, 남은 ~22:02
  [  150/4860] n2_chain_b44930f8                  ps=0 7.4s ok                  0:42 경과, 남은 ~22:09
  [  151/4860] n2_chain_b44930f8                  ps=1 7.4s ok                  0:42 경과, 남은 ~22:01
  [  152/4860] n2_chain_060a40ee                  ps=2 12.0s ok                 0:42 경과, 남은 ~21:57
  [  153/4860] n2_chain_b44930f8                  ps=2 7.4s ok                  0:42 경과, 남은 ~21:57
  [  154/4860] n2_chain_8e2a30af                  ps=2 10.8s ok                 0:43 경과, 남은 ~21:57
  [  155/4860] n2_chain_8e2a30af                  ps=0 10.7s ok                 0:43 경과, 남은 ~21:54
  [  156/4860] n2_chain_631adeb0                  ps=0 10.4s ok                 0:43 경과, 남은 ~21:58
  [  157/4860] n2_chain_8e2a30af                  ps=1 10.7s ok                 0:43 경과, 남은 ~21:56
  [  158/4860] n2_chain_631adeb0                  ps=1 10.4s ok                 0:44 경과, 남은 ~21:55
  [  159/4860] n2_chain_631adeb0                  ps=2 10.4s ok                 0:44 경과, 남은 ~21:49
  [  160/4860] n2_chain_2229e9ff                  ps=2 12.6s ok                 0:45 경과, 남은 ~22:13
  [  161/4860] n2_chain_2229e9ff                  ps=0 12.2s ok                 0:45 경과, 남은 ~22:13
  [  162/4860] n2_chain_2229e9ff                  ps=1 12.6s ok                 0:46 경과, 남은 ~22:15
  [  163/4860] n2_chain_dd56a491                  ps=0 14.7s ok                 0:46 경과, 남은 ~22:16
  [  164/4860] n2_chain_dd56a491                  ps=1 14.7s ok                 0:46 경과, 남은 ~22:09
  [  165/4860] n2_chain_dd29f211                  ps=0 6.4s ok                  0:46 경과, 남은 ~22:03
  [  166/4860] n2_chain_dd29f211                  ps=1 6.4s ok                  0:47 경과, 남은 ~22:10
  [  167/4860] n2_chain_7970095e                  ps=1 14.6s ok                 0:47 경과, 남은 ~22:11
  [  168/4860] n2_chain_7970095e                  ps=0 14.8s ok                 0:47 경과, 남은 ~22:04
  [  169/4860] n2_chain_dd29f211                  ps=2 6.4s ok                  0:47 경과, 남은 ~21:57
  [  170/4860] n2_chain_dd56a491                  ps=2 14.7s ok                 0:47 경과, 남은 ~21:57
  [  171/4860] n2_chain_7970095e                  ps=2 15.0s ok                 0:48 경과, 남은 ~22:00
  [  172/4860] n2_chain_7e07b912                  ps=1 12.0s ok                 0:48 경과, 남은 ~22:11
  [  173/4860] n2_chain_7e07b912                  ps=0 12.1s ok                 0:48 경과, 남은 ~22:03
  [  174/4860] n2_chain_5fd352f9                  ps=1 12.3s ok                 0:49 경과, 남은 ~22:08
  [  175/4860] n2_chain_a574eda7                  ps=1 7.7s ok                  0:49 경과, 남은 ~22:02
  [  176/4860] n2_chain_a574eda7                  ps=0 7.7s ok                  0:49 경과, 남은 ~21:56
  [  177/4860] n2_chain_5fd352f9                  ps=0 12.4s ok                 0:50 경과, 남은 ~22:03
  [  178/4860] n2_chain_7e07b912                  ps=2 12.1s ok                 0:50 경과, 남은 ~21:56
  [  179/4860] n2_chain_a574eda7                  ps=2 7.8s ok                  0:50 경과, 남은 ~21:48
  [  180/4860] n2_chain_5fd352f9                  ps=2 12.4s ok                 0:50 경과, 남은 ~21:42
  [  181/4860] n2_chain_f74f773a                  ps=0 13.8s ok                 0:51 경과, 남은 ~22:12
  [  182/4860] n2_chain_f74f773a                  ps=1 13.8s ok                 0:51 경과, 남은 ~22:15
  [  183/4860] n2_chain_f74f773a                  ps=2 14.0s ok                 0:52 경과, 남은 ~22:09
  [  184/4860] n2_chain_31208f29                  ps=2 14.2s ok                 0:52 경과, 남은 ~22:09
  [  185/4860] n2_chain_31208f29                  ps=0 14.2s ok                 0:52 경과, 남은 ~22:11
  [  186/4860] n2_chain_eaa744be                  ps=0 13.3s ok                 0:53 경과, 남은 ~22:13
  [  187/4860] n2_chain_eaa744be                  ps=1 13.3s ok                 0:53 경과, 남은 ~22:07
  [  188/4860] n2_chain_31208f29                  ps=1 14.2s ok                 0:53 경과, 남은 ~22:01
  [  189/4860] n2_chain_eaa744be                  ps=2 13.2s ok                 0:53 경과, 남은 ~22:08
  [  190/4860] n2_chain_9db623ea                  ps=0 10.5s ok                 0:54 경과, 남은 ~22:13
  [  191/4860] n2_chain_9db623ea                  ps=1 10.5s ok                 0:54 경과, 남은 ~22:13
  [  192/4860] n2_chain_11f380bf                  ps=0 15.0s ok                 0:54 경과, 남은 ~22:07
  [  193/4860] n2_chain_9db623ea                  ps=2 10.5s ok                 0:54 경과, 남은 ~22:01
  [  194/4860] n2_chain_11f380bf                  ps=1 15.1s ok                 0:54 경과, 남은 ~21:56
  [  195/4860] n2_chain_11f380bf                  ps=2 15.0s ok                 0:54 경과, 남은 ~21:54
  [  196/4860] n2_chain_d5b7e448                  ps=0 10.4s ok                 0:55 경과, 남은 ~21:54
  [  197/4860] n2_chain_d5b7e448                  ps=1 10.4s ok                 0:55 경과, 남은 ~21:49
  [  198/4860] n2_chain_62c41682                  ps=1 11.7s ok                 0:56 경과, 남은 ~22:01
  [  199/4860] n2_chain_c6c53e90                  ps=0 11.0s ok                 0:56 경과, 남은 ~22:01
